Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Low,35,11,1,0,0,0,1,0,0,0,2,12,3,0,2,0,3,1,15,0,Higher,Low
High,23,2,2,5,2,1,1,0,0,2,1,26,4,2,2,0,1,0,21,1,College,High
Low,11,9,3,0,1,1,0,0,1,2,2,20,0,1,1,1,1,1,0,0,Higher,Medium
Low,42,32,0,1,2,0,1,0,1,2,0,16,0,2,0,0,2,0,18,0,School,High
High,54,45,0,1,2,0,1,1,2,0,1,21,1,1,2,0,1,2,50,2,College,High
Low,22,58,2,3,1,0,1,0,2,1,0,12,4,1,2,0,2,2,30,1,School,Medium
Medium,26,51,4,2,1,2,1,1,1,2,0,13,0,1,2,0,2,0,32,1,School,Medium
Medium,57,5,4,5,1,0,1,1,2,1,2,18,4,0,0,0,3,1,27,1,Higher,Medium
High,56,1,3,2,0,2,0,1,2,2,1,7,2,0,1,0,2,1,33,1,College,Low
Medium,44,28,3,3,2,0,1,1,0,2,0,4,4,2,1,1,3,1,36,1,School,High
Low,36,39,4,1,2,2,1,0,0,2,2,14,0,0,0,1,2,1,31,1,Higher,High
Low,5,60,3,4,1,1,1,0,0,2,1,8,5,2,2,0,0,2,28,1,College,Medium
Low,0,67,4,6,0,0,1,1,0,2,0,15,4,1,2,0,3,0,25,1,School,Low
High,5,67,2,5,1,2,0,1,0,2,0,29,4,0,0,1,4,1,35,1,School,Medium
Low,49,28,3,3,2,1,1,0,1,0,0,27,5,1,2,1,0,2,28,1,School,High
Low,21,61,4,2,0,1,0,0,0,1,1,14,4,2,1,0,2,2,32,1,College,Low
High,40,59,3,3,0,0,1,0,0,1,1,20,0,0,1,1,4,1,53,3,College,Low
Low,23,40,0,3,2,2,0,1,1,0,0,9,6,0,2,0,3,2,28,1,School,High
Low,24,64,0,0,0,2,1,1,0,2,1,18,2,1,0,0,4,1,34,1,College,Low
Low,14,63,1,1,0,2,1,1,2,0,1,13,4,0,0,0,4,0,33,1,College,Low
Low,25,62,4,5,1,1,1,0,1,0,0,27,2,2,2,1,2,0,41,2,School,Medium
Low,7,47,1,0,0,2,1,1,2,0,1,18,0,0,2,1,0,1,24,1,College,Low
High,50,19,4,1,1,1,0,1,2,1,2,14,3,1,2,1,4,1,35,1,Higher,Medium
Medium,23,36,3,3,0,2,1,0,1,0,2,28,6,2,0,1,0,1,31,1,Higher,Low
High,47,63,4,1,1,1,0,0,1,2,2,4,4,0,0,0,4,2,53,3,Higher,Medium
High,37,4,0,2,1,0,0,0,0,0,1,9,2,1,0,1,3,1,17,0,College,Medium
High,5,33,3,5,0,1,1,0,1,1,2,20,4,1,2,0,2,2,42,2,Higher,Low
Low,53,38,0,0,1,2,0,0,1,1,0,5,1,1,0,0,4,1,39,1,School,Medium
Medium,34,66,3,5,2,1,0,1,0,2,2,8,1,1,0,0,2,0,50,2,Higher,High
Medium,41,61,4,3,2,2,1,1,0,0,1,23,0,1,1,1,0,0,47,2,College,High
Medium,0,23,4,2,0,0,1,0,1,2,0,16,6,2,2,1,4,1,13,0,School,Low
High,59,2,0,1,0,1,1,1,0,0,0,28,5,1,1,0,3,2,35,1,School,Low
Medium,45,66,2,6,0,0,1,0,0,2,0,10,2,1,0,0,1,0,55,3,School,Low
Low,35,49,4,1,2,1,1,1,0,2,2,20,2,0,1,1,0,2,35,1,Higher,High
Medium,57,28,2,2,0,1,1,0,2,2,2,23,5,2,1,1,2,1,39,1,Higher,Low
Low,11,31,3,6,0,0,1,0,0,1,1,18,5,1,2,1,0,2,29,1,College,Low
Medium,37,38,2,1,1,0,0,1,2,1,0,4,6,0,1,0,3,0,31,1,School,Medium
Low,10,8,0,0,0,1,0,0,1,0,1,14,4,2,2,1,2,0,16,0,College,Low
High,11,13,1,4,2,1,1,0,2,1,1,27,1,2,1,1,2,2,23,1,College,High
Medium,41,67,1,1,2,1,0,0,2,2,1,8,4,1,1,1,2,2,50,2,College,High
Low,49,63,0,3,0,0,0,1,2,1,0,14,4,2,0,1,1,1,44,2,School,Low
High,38,19,1,1,2,2,0,1,2,1,0,8,5,0,2,1,1,0,34,1,School,High
Medium,6,27,0,5,1,0,1,0,2,0,1,14,0,2,0,1,2,1,18,0,College,Medium
Medium,10,13,4,3,1,1,0,1,2,2,0,7,3,1,0,0,1,1,18,0,School,Medium
Medium,35,43,2,1,0,1,1,1,1,1,0,4,0,1,2,1,2,1,38,1,School,Low
Medium,51,38,1,1,0,0,0,0,1,1,0,2,0,0,2,1,3,0,42,2,School,Low
High,30,27,4,3,1,1,1,1,1,0,2,29,0,2,2,0,2,2,39,1,Higher,Medium
Medium,32,63,1,0,1,1,0,0,2,0,0,22,6,0,2,1,1,0,45,2,School,Medium
Medium,12,31,3,6,0,1,0,0,0,2,1,3,4,2,0,1,3,0,29,1,College,Low
Low,17,8,0,6,2,1,1,0,2,0,1,14,4,2,1,0,3,2,10,0,College,High
High,40,27,0,4,0,1,0,0,1,2,2,16,4,2,1,1,1,1,45,2,Higher,Low
Low,57,16,4,4,0,2,1,1,2,2,2,12,4,2,2,1,2,0,33,1,Higher,Low
High,55,54,3,6,0,0,1,0,1,1,0,2,6,1,0,0,1,0,53,3,School,Low
High,23,9,2,0,0,0,1,1,0,1,2,3,6,1,2,0,0,2,20,0,Higher,Low
Medium,8,5,3,1,0,0,0,1,0,1,1,29,6,0,1,0,1,1,12,0,College,Low
Low,30,47,3,4,0,2,0,1,1,1,0,0,5,2,0,1,3,0,29,1,School,Low
Low,54,66,2,0,0,2,1,0,1,1,2,26,1,0,2,1,2,1,44,2,Higher,Low
Low,40,40,2,0,2,0,1,0,2,2,1,14,2,0,2,0,4,0,27,1,College,High
High,9,59,3,4,0,0,1,0,2,1,1,8,1,1,2,0,2,2,41,2,College,Low
Low,59,41,1,6,1,0,0,0,2,1,0,22,2,0,2,1,3,0,37,1,School,Medium
Medium,1,27,1,3,0,1,0,0,0,1,0,4,4,0,2,1,2,0,24,1,School,Low
Medium,37,12,3,2,2,2,1,0,0,2,0,11,6,0,2,1,3,1,24,1,School,High
High,14,14,1,6,1,2,0,0,0,0,0,8,6,2,1,1,4,1,29,1,School,Medium
Low,2,35,2,3,0,1,0,1,2,0,2,3,1,2,0,1,1,0,21,1,Higher,Low
Medium,42,14,2,6,0,2,1,1,1,1,0,17,2,0,0,1,0,1,29,1,School,Low
High,30,55,1,1,1,0,1,0,1,0,0,11,3,0,1,0,2,2,42,2,School,Medium
Low,5,3,2,3,0,2,0,0,2,2,1,12,0,2,0,0,4,0,4,0,College,Low
High,2,51,0,5,2,1,1,1,2,1,0,10,6,2,2,1,2,0,39,1,School,High
Medium,55,9,2,2,0,0,1,0,1,2,0,23,6,0,0,1,0,0,35,1,School,Low
High,10,44,3,6,2,2,0,1,1,2,0,17,6,0,1,1,0,0,37,1,School,High
High,14,28,4,2,0,0,1,1,0,1,0,15,2,2,1,0,0,1,36,1,School,Low
High,44,52,1,0,1,2,1,0,2,2,0,14,5,2,2,0,4,2,44,2,School,Medium
Low,51,28,1,5,2,0,0,0,0,1,0,8,1,2,2,1,0,0,32,1,School,High
Low,27,22,2,1,0,1,1,1,0,2,0,14,1,2,0,0,0,0,18,0,School,Low
Low,9,56,2,0,0,1,0,1,1,0,2,11,3,0,2,1,0,1,25,1,Higher,Low
Low,37,49,4,3,1,2,1,0,2,0,0,2,2,2,0,0,0,1,34,1,School,Medium
Medium,46,20,4,3,1,2,0,1,1,0,0,20,0,2,0,0,4,1,28,1,School,Medium
High,56,42,3,4,2,0,0,0,0,2,0,17,1,2,2,0,2,0,53,3,School,High
Low,49,9,0,0,2,1,1,0,2,1,2,22,4,1,0,0,4,1,18,0,Higher,High
Low,49,29,3,5,2,0,1,0,0,0,0,6,5,1,0,1,4,0,25,1,School,High
Low,6,50,1,0,0,1,1,0,0,1,0,6,4,2,0,1,0,1,28,1,School,Low
Medium,14,32,2,0,0,0,0,1,1,0,1,21,2,0,0,1,1,1,23,1,College,Low
Low,17,17,3,0,2,0,0,0,2,0,0,26,6,2,1,1,2,2,13,0,School,High
High,17,21,2,2,0,0,1,0,2,2,0,11,5,2,1,1,2,1,28,1,School,Low
High,51,63,2,4,1,0,1,1,2,0,1,26,3,2,1,1,1,0,55,3,College,Medium
Low,40,20,3,6,0,0,0,1,2,1,0,21,0,2,0,0,2,2,25,1,School,Low
Low,23,0,3,1,2,2,1,1,0,1,0,22,2,1,2,1,0,2,0,0,School,High
Low,1,14,4,1,0,2,0,0,1,0,0,9,2,2,1,0,0,1,5,0,School,Low
Low,39,35,0,1,1,0,1,1,2,1,1,28,6,2,0,0,0,1,22,1,College,Medium
Low,19,46,4,2,2,1,1,1,0,1,2,7,5,1,1,0,0,2,27,1,Higher,High
High,33,53,0,4,2,2,1,0,1,1,2,8,0,2,1,0,3,2,44,2,Higher,High
Low,42,31,3,5,2,0,0,1,1,1,0,13,1,0,1,0,0,1,25,1,School,High
Medium,25,57,0,4,2,1,1,1,1,1,0,5,4,1,1,0,3,2,45,2,School,High
Low,6,45,1,2,0,1,0,1,2,0,1,19,1,2,0,0,2,0,25,1,College,Low
High,37,53,4,5,1,2,0,1,0,1,0,22,6,0,1,0,2,2,49,2,School,Medium
Medium,29,32,4,0,0,0,1,0,1,1,2,15,3,2,0,0,3,1,31,1,Higher,Low
Medium,41,38,4,3,0,2,1,0,1,0,1,20,0,2,2,0,2,0,37,1,College,Low
Low,4,22,2,0,2,1,0,0,1,2,2,20,1,0,2,1,4,0,8,0,Higher,High
Medium,10,42,2,1,1,2,1,1,0,1,0,27,2,0,1,1,1,1,28,1,School,Medium
Medium,0,54,3,0,0,0,1,1,0,2,2,27,2,0,2,0,4,2,31,1,Higher,Low
High,33,1,3,2,1,1,0,1,2,2,2,6,3,2,2,0,3,1,28,1,Higher,Medium
Low,55,65,2,1,1,0,1,0,2,0,0,22,3,0,0,0,1,0,49,2,School,Medium
Medium,0,37,4,3,1,0,0,1,0,2,2,14,0,0,0,1,3,2,19,0,Higher,Medium
High,18,28,2,5,1,1,0,0,2,2,1,27,1,2,1,0,0,0,36,1,College,Medium
High,1,66,0,5,0,0,0,0,0,2,1,7,2,2,2,1,1,2,39,1,College,Low
Medium,20,35,4,1,1,0,0,1,2,0,0,2,0,2,2,0,3,1,24,1,School,Medium
Low,19,28,2,6,0,0,0,1,2,1,0,10,0,2,0,0,0,0,20,0,School,Low
High,22,36,3,6,1,1,1,1,0,0,1,3,2,1,1,0,2,1,37,1,College,Medium
High,20,44,2,0,1,0,0,0,1,0,1,1,1,2,2,0,3,0,29,1,College,Medium
Low,23,15,1,6,0,2,0,1,1,0,1,0,4,0,2,0,1,2,18,0,College,Low
High,3,30,2,4,2,2,1,1,2,1,1,6,3,0,1,1,2,1,23,1,College,High
High,11,33,4,4,0,0,0,1,1,2,2,24,6,2,0,1,3,1,28,1,Higher,Low
Low,21,49,2,5,1,2,0,1,1,1,1,11,6,0,0,0,3,0,35,1,College,Medium
Low,19,64,3,4,0,2,1,1,2,2,0,7,6,0,0,1,2,1,35,1,School,Low
Low,17,61,0,1,1,1,1,0,1,1,0,12,5,1,2,1,0,1,34,1,School,Medium
High,0,42,1,4,0,0,1,1,0,0,1,5,1,1,2,0,1,2,35,1,College,Low
High,29,55,4,2,0,1,0,0,0,0,2,6,4,2,0,0,0,1,48,2,Higher,Low
Low,32,14,3,5,0,0,0,0,1,2,1,14,4,1,0,0,1,1,14,0,College,Low
High,23,47,1,3,2,2,0,1,0,0,1,20,2,0,2,0,2,2,37,1,College,High
Medium,13,48,2,4,0,0,1,0,0,0,0,24,4,2,0,1,0,0,35,1,School,Low
Medium,35,43,1,2,0,1,0,0,1,1,0,5,6,2,2,0,4,2,43,2,School,Low
Low,4,9,0,2,2,2,0,1,0,2,2,11,3,0,0,0,4,0,5,0,Higher,High
Low,10,19,1,1,2,2,0,0,2,1,2,6,0,0,0,1,3,1,9,0,Higher,High
Low,23,69,1,5,1,0,1,0,2,1,2,9,1,0,2,0,0,2,41,2,Higher,Medium
High,59,7,2,1,1,0,1,0,2,0,0,6,5,0,1,1,3,0,27,1,School,Medium
Medium,30,44,2,3,0,2,1,0,1,1,0,24,6,1,0,0,0,2,34,1,School,Low
Low,54,33,4,3,1,2,1,1,0,2,0,27,3,0,1,1,1,1,28,1,School,Medium
Medium,12,50,2,0,0,1,0,0,1,0,1,15,4,2,1,0,1,0,31,1,College,Low
High,15,3,1,3,2,1,0,1,1,2,0,21,0,1,0,0,2,2,15,0,School,High
High,23,38,0,5,2,0,0,0,0,2,1,1,0,2,0,0,4,0,34,1,College,High
Medium,12,23,2,6,0,1,1,0,0,2,2,7,6,0,1,0,4,1,25,1,Higher,Low
High,23,54,4,6,1,2,0,1,0,2,0,17,4,0,1,0,2,2,44,2,School,Medium
Low,53,25,4,5,1,2,0,0,1,1,2,16,3,2,0,1,2,0,28,1,Higher,Medium
Low,25,24,1,1,1,2,0,0,1,0,2,29,5,2,2,0,2,0,16,0,Higher,Medium
Low,1,35,2,2,0,2,0,1,2,1,2,12,4,0,0,1,2,0,15,0,Higher,Low
Low,15,57,2,0,1,0,1,1,1,0,1,18,1,1,2,0,0,1,30,1,College,Medium
High,37,11,4,6,2,2,0,1,0,1,0,21,0,0,1,1,2,0,20,0,School,High
Medium,45,0,2,6,2,2,1,1,1,0,2,3,2,1,1,0,3,2,23,1,Higher,High
High,0,49,1,3,2,2,0,1,2,2,1,11,6,0,1,0,2,2,32,1,College,High
Low,48,24,0,2,2,2,1,1,0,2,0,10,0,1,0,0,0,1,26,1,School,High
Low,10,4,1,1,2,0,1,1,2,1,0,1,4,0,2,1,4,1,4,0,School,High
Medium,50,67,2,4,2,0,1,1,1,1,0,20,5,2,0,1,4,0,52,3,School,High
High,34,5,1,0,2,1,0,0,1,2,1,23,6,2,1,0,4,1,28,1,College,High
Low,42,25,3,5,2,0,1,1,2,1,2,21,4,0,0,1,0,0,29,1,Higher,High
High,28,54,3,2,2,0,1,0,2,1,1,16,2,0,2,1,2,0,37,1,College,High
Low,36,38,2,1,0,0,0,0,0,0,0,12,2,1,0,0,1,1,27,1,School,Low
Low,16,8,2,1,0,1,0,0,0,0,2,3,0,1,0,0,4,0,11,0,Higher,Low
Low,57,44,0,0,2,2,0,1,2,0,2,1,4,0,2,1,4,0,34,1,Higher,High
High,53,13,1,0,2,1,0,1,0,1,1,18,0,1,2,1,1,0,36,1,College,High
Medium,38,54,0,3,2,2,1,0,2,2,2,0,3,2,1,1,2,0,42,2,Higher,High
Low,41,8,2,3,1,0,1,1,2,2,0,26,4,2,2,0,4,2,19,0,School,Medium
High,27,14,2,5,0,2,0,1,1,2,0,22,5,0,1,1,2,1,26,1,School,Low
Low,28,36,4,5,2,1,1,1,2,2,0,5,0,2,0,1,3,2,24,1,School,High
Medium,42,49,0,0,0,2,1,1,0,0,0,20,5,1,1,1,1,0,45,2,School,Low
Low,2,20,2,0,2,2,1,0,2,0,0,25,4,0,0,0,0,1,1,0,School,High
High,51,56,3,2,1,0,1,1,1,1,2,29,6,2,2,0,2,1,54,3,Higher,Medium
Medium,9,18,4,3,2,2,1,0,0,2,2,20,4,0,1,0,1,1,18,0,Higher,High
Low,58,57,1,1,0,2,0,1,2,1,1,19,1,2,1,0,1,0,45,2,College,Low
Low,41,5,4,6,0,0,0,0,1,2,0,27,0,2,1,1,1,1,18,0,School,Low
High,13,3,1,6,0,1,0,0,0,2,0,9,4,2,2,1,0,1,26,1,School,Low
High,11,42,3,6,0,0,0,1,1,1,1,8,2,2,0,0,4,2,37,1,College,Low
Low,46,41,1,3,2,2,0,1,1,0,1,17,2,0,1,0,3,1,30,1,College,High
Medium,41,2,0,3,1,0,0,0,0,1,0,29,1,2,0,1,4,2,25,1,School,Medium
Low,29,0,1,0,1,0,0,0,1,1,0,15,4,2,0,1,2,0,5,0,School,Medium
High,31,54,1,6,2,2,1,1,1,2,1,1,0,2,0,1,1,1,44,2,College,High
Medium,31,14,4,0,2,1,0,1,1,0,0,17,6,0,1,0,4,0,17,0,School,High
High,41,46,3,3,0,0,1,1,0,1,1,6,5,2,0,0,0,0,47,2,College,Low
Medium,31,45,1,4,2,1,1,1,1,0,0,28,0,2,1,0,0,1,42,2,School,High
High,25,57,0,4,1,0,1,0,2,0,0,29,5,2,0,1,3,0,53,3,School,Medium
Medium,50,38,4,5,2,2,1,1,1,0,2,16,5,0,0,1,4,0,40,1,Higher,High
Medium,0,2,3,3,2,2,1,1,2,0,0,17,5,2,1,0,0,1,1,0,School,High
Medium,55,29,3,6,1,0,0,1,1,2,0,27,2,2,1,0,0,1,36,1,School,Medium
Medium,57,34,2,4,1,0,1,0,2,2,1,27,3,0,2,0,3,1,42,2,College,Medium
Low,41,56,0,5,2,0,0,1,0,2,2,0,6,1,2,1,2,2,35,1,Higher,High
Low,1,28,4,5,0,0,0,0,1,2,0,22,4,0,2,0,4,0,11,0,School,Low
High,16,49,4,3,0,0,0,1,2,2,2,22,1,1,0,0,2,0,38,1,Higher,Low
Medium,29,61,0,5,0,2,1,0,0,1,0,27,1,1,2,0,1,2,45,2,School,Low
Medium,55,51,3,0,1,0,1,0,1,0,1,16,5,1,2,1,2,0,40,1,College,Medium
Low,38,13,1,0,1,2,0,1,1,2,1,28,4,1,2,1,0,1,17,0,College,Medium
Medium,6,34,0,0,0,0,0,0,1,0,1,21,4,1,0,0,0,1,17,0,College,Low
Low,51,27,4,1,2,1,0,0,0,2,2,3,5,0,2,0,2,0,24,1,Higher,High
High,26,57,0,0,2,1,0,1,0,2,0,14,1,2,1,0,2,0,43,2,School,High
High,8,29,3,6,2,0,0,0,2,1,0,24,1,0,0,0,1,0,30,1,School,High
Medium,21,6,2,0,1,0,1,1,1,0,2,14,0,0,0,0,1,1,8,0,Higher,Medium
Low,33,38,2,3,1,0,0,1,2,2,1,0,1,2,1,0,4,0,17,0,College,Medium
Medium,45,68,1,4,0,0,0,1,2,2,0,17,5,2,2,0,0,0,55,3,School,Low
Medium,48,34,1,6,2,0,0,0,2,1,0,14,2,0,2,0,4,1,43,2,School,High
High,0,51,3,4,1,0,0,0,2,0,1,2,1,0,1,1,4,1,32,1,College,Medium
High,8,13,1,0,1,1,1,0,2,0,2,19,6,0,2,0,2,1,27,1,Higher,Medium
Low,19,62,2,0,0,2,0,0,1,2,0,10,1,0,2,1,0,0,38,1,School,Low
High,52,35,3,0,2,1,0,1,0,1,1,15,2,2,2,0,4,0,43,2,College,High
Medium,18,23,3,5,1,2,1,0,2,1,1,1,2,1,0,0,2,2,22,1,College,Medium
Low,35,39,3,3,1,1,0,1,0,2,1,25,4,0,1,1,3,2,32,1,College,Medium
Low,59,28,0,3,1,0,1,0,2,0,2,27,5,1,2,0,1,1,29,1,Higher,Medium
Low,39,52,1,3,1,0,1,0,1,2,0,29,5,1,1,0,2,1,35,1,School,Medium
Low,44,21,4,4,2,0,0,0,2,0,0,22,1,0,0,0,2,1,29,1,School,High
Low,3,14,2,6,0,1,0,1,2,1,2,6,2,0,2,1,4,0,15,0,Higher,Low
Medium,8,68,1,6,2,1,1,1,2,2,1,18,0,2,1,1,2,2,41,2,College,High
High,40,63,2,1,0,2,1,1,1,2,1,27,3,1,0,0,2,1,46,2,College,Low
Medium,21,3,1,4,1,1,0,1,2,2,1,0,2,0,0,1,4,0,22,1,College,Medium
Low,17,17,4,3,2,2,0,0,1,0,2,7,3,0,1,1,2,0,9,0,Higher,High
High,11,41,2,2,0,1,1,0,0,0,0,16,6,2,2,1,1,0,37,1,School,Low
Medium,41,29,4,1,0,0,0,0,0,1,1,26,6,0,2,1,0,0,34,1,College,Low
High,42,14,2,0,1,1,1,0,0,0,0,15,1,1,1,0,4,0,28,1,School,Medium
Low,38,69,0,5,0,0,0,1,1,0,0,3,6,0,0,0,3,2,47,2,School,Low
Medium,8,54,0,4,0,1,0,1,2,2,0,12,6,0,1,0,3,0,38,1,School,Low
Low,5,52,2,5,0,0,1,1,0,1,1,25,0,2,1,0,0,1,22,1,College,Low
Low,18,15,2,1,1,1,1,0,0,1,0,11,5,1,0,0,1,1,10,0,School,Medium
High,47,33,4,6,2,0,0,0,2,2,2,8,0,1,1,0,2,1,41,2,Higher,High
Low,46,26,3,2,1,1,1,0,0,0,2,12,5,1,0,0,3,1,24,1,Higher,Medium
High,6,12,2,1,0,2,0,0,0,0,2,10,4,0,0,1,2,1,17,0,Higher,Low
High,15,26,1,4,0,2,0,0,2,2,1,11,5,0,1,1,1,0,30,1,College,Low
Low,4,68,1,3,2,2,1,0,1,2,2,3,5,0,1,0,4,2,26,1,Higher,High
High,15,30,1,0,0,2,0,0,1,0,0,26,6,1,1,0,0,1,29,1,School,Low
Low,0,2,0,3,2,0,0,1,0,1,1,14,4,1,2,0,1,2,0,0,College,High
High,50,29,4,3,0,2,1,1,0,2,1,4,1,1,0,0,3,0,42,2,College,Low
High,36,20,0,4,0,1,1,0,1,0,0,14,2,1,0,1,3,2,40,1,School,Low
Low,38,5,1,3,1,1,1,0,0,2,2,26,0,0,0,0,0,0,18,0,Higher,Medium
Medium,18,31,2,3,1,1,0,0,1,1,0,3,1,2,0,1,4,0,26,1,School,Medium
Medium,53,41,1,4,2,2,1,0,0,1,0,0,1,1,0,0,1,1,41,2,School,High
Low,36,61,2,4,1,2,0,1,0,0,1,23,5,2,2,0,3,1,35,1,College,Medium
Medium,16,31,4,2,2,1,1,1,1,1,2,14,2,1,0,1,3,1,30,1,Higher,High
High,25,38,3,3,1,1,0,0,2,2,2,1,0,2,2,1,4,1,34,1,Higher,Medium
Low,21,63,2,1,2,1,0,1,0,1,2,13,5,2,1,1,3,2,31,1,Higher,High
High,7,29,0,6,0,0,1,1,0,0,0,10,5,2,1,1,3,2,20,0,School,Low
High,32,62,1,0,2,0,0,0,2,2,1,8,0,0,2,1,2,0,44,2,College,High
Medium,1,30,1,5,1,2,0,1,0,1,1,7,0,2,0,1,0,2,19,0,College,Medium
Medium,29,39,1,0,2,0,1,0,2,1,1,26,4,0,0,0,2,0,26,1,College,High
High,46,32,2,4,1,1,0,0,2,1,2,6,0,2,0,1,3,0,41,2,Higher,Medium
High,19,62,4,5,0,1,0,0,1,0,2,29,3,0,0,1,4,0,52,3,Higher,Low
High,59,24,2,4,1,2,0,0,2,0,1,15,5,1,0,0,0,0,38,1,College,Medium
Low,17,35,0,6,0,2,0,1,1,1,0,8,2,1,2,0,1,1,16,0,School,Low
High,42,23,1,6,0,0,0,0,1,2,1,9,0,2,2,0,1,0,45,2,College,Low
Low,56,57,2,2,1,1,0,0,1,1,0,18,6,0,2,1,4,1,44,2,School,Medium
High,9,38,1,3,0,2,1,1,0,2,1,29,2,1,1,1,1,0,34,1,College,Low
High,23,45,0,4,1,2,1,0,0,2,0,14,2,0,1,0,2,1,42,2,School,Medium
Low,55,9,3,6,2,0,1,1,2,0,1,25,3,0,2,1,3,1,17,0,College,High
Low,3,31,3,4,0,2,0,1,1,1,2,22,0,1,2,0,1,2,19,0,Higher,Low
Low,36,35,3,0,2,0,1,0,0,0,2,14,2,0,1,1,2,2,28,1,Higher,High
Low,3,27,1,3,2,1,1,0,0,1,2,22,6,0,2,0,0,0,13,0,Higher,High
Low,12,15,2,2,1,0,0,1,2,2,0,13,5,0,1,1,4,1,11,0,School,Medium
Low,24,15,1,6,1,2,1,1,0,0,0,21,0,1,1,1,0,0,12,0,School,Medium
Low,12,17,4,4,0,0,1,0,0,0,0,9,3,0,2,1,0,2,7,0,School,Low
Medium,17,7,2,4,1,0,0,0,0,0,0,4,4,1,2,0,2,0,14,0,School,Medium
High,58,69,0,4,2,1,1,0,0,2,0,4,4,0,1,1,1,2,55,3,School,High
Low,23,0,3,0,2,0,1,0,0,0,2,1,4,0,2,0,2,1,6,0,Higher,High
Medium,1,61,2,6,2,2,1,0,0,1,2,14,4,1,0,1,1,1,28,1,Higher,High
Low,47,37,2,4,0,2,1,0,2,1,2,12,1,1,1,0,3,1,29,1,Higher,Low
High,32,44,3,4,1,1,1,0,1,2,1,6,2,0,1,1,4,1,44,2,College,Medium
Medium,57,57,0,0,2,1,1,0,0,0,0,25,1,0,0,1,3,0,55,3,School,High
High,18,0,1,4,0,1,0,1,1,1,0,21,6,2,0,0,1,1,25,1,School,Low
Low,8,31,1,3,1,2,0,1,2,0,0,27,0,0,0,0,1,2,11,0,School,Medium
High,27,7,2,3,1,0,1,1,2,1,1,15,5,1,2,0,0,0,23,1,College,Medium
High,34,39,3,0,2,2,1,1,1,2,1,27,4,0,0,0,1,2,39,1,College,High
High,56,55,4,3,0,2,1,0,1,1,0,21,0,2,0,1,0,2,55,3,School,Low
Medium,38,62,0,5,2,1,0,0,2,1,0,15,3,0,2,1,0,1,49,2,School,High
High,9,35,1,5,2,1,1,0,0,1,0,25,2,2,0,1,4,0,33,1,School,High
Medium,0,56,0,5,0,0,0,1,1,2,2,5,3,1,1,0,1,2,32,1,Higher,Low
Medium,41,44,0,2,2,0,0,1,1,1,1,6,2,1,0,0,3,1,33,1,College,High
Medium,20,1,0,4,0,0,1,0,0,2,0,3,3,0,0,0,2,1,16,0,School,Low
High,8,67,3,2,0,0,0,1,1,2,2,3,6,2,2,0,0,0,53,3,Higher,Low
Medium,59,49,3,3,2,2,1,0,0,1,0,14,3,1,2,1,2,0,45,2,School,High
Low,46,28,3,0,2,0,0,0,2,0,0,10,5,0,0,1,0,1,22,1,School,High
High,14,9,2,5,1,2,1,1,1,1,1,4,2,1,0,0,3,0,23,1,College,Medium
High,34,26,3,0,1,0,1,1,0,2,0,1,0,0,1,0,0,0,31,1,School,Medium
Low,56,14,2,2,0,0,0,0,0,0,1,4,6,2,2,1,4,1,21,1,College,Low
Low,4,59,1,3,0,0,1,1,2,1,1,4,3,0,1,1,0,0,31,1,College,Low
High,40,30,1,6,0,2,0,0,1,1,0,20,6,1,1,0,1,0,41,2,School,Low
High,57,20,1,4,1,1,1,0,0,1,2,12,2,0,0,0,4,1,40,1,Higher,Medium
Medium,21,59,1,6,2,0,0,0,1,1,0,11,2,1,0,0,0,1,35,1,School,High
Low,40,57,1,3,2,1,1,0,0,1,0,9,3,2,0,1,0,2,45,2,School,High
Low,22,40,3,5,1,2,1,1,1,0,0,12,0,1,1,0,2,1,22,1,School,Medium
Low,6,45,4,3,2,1,1,0,1,1,2,8,6,1,1,1,0,2,23,1,Higher,High
Medium,55,44,3,0,2,2,0,1,0,2,1,4,4,2,2,1,4,0,38,1,College,High
High,22,25,4,1,2,0,0,0,0,2,2,5,5,2,2,0,0,1,26,1,Higher,High
Low,43,50,3,5,1,1,1,1,1,0,2,17,1,0,2,0,2,0,28,1,Higher,Medium
Medium,24,35,1,6,0,1,1,0,1,2,0,28,4,2,2,0,3,1,32,1,School,Low
Medium,26,51,0,4,2,2,1,0,2,0,0,4,3,1,2,0,2,1,34,1,School,High
Medium,40,50,4,5,2,2,0,1,0,2,2,14,3,0,2,1,2,1,42,2,Higher,High
High,5,2,0,5,0,2,1,0,1,0,1,25,5,2,1,0,0,2,15,0,College,Low
Low,54,13,1,4,2,0,1,0,1,1,1,28,6,1,0,1,3,1,26,1,College,High
Low,33,48,4,6,2,2,1,0,0,2,0,10,2,2,2,1,4,1,31,1,School,High
Low,8,0,0,5,0,0,0,0,1,2,0,14,6,1,1,1,4,2,2,0,School,Low
High,59,56,3,0,1,2,1,1,1,0,1,8,5,2,1,1,1,1,54,3,College,Medium
Medium,48,16,1,3,1,0,1,1,2,0,0,11,0,0,0,1,2,2,25,1,School,Medium
